"","Country.Name","Year","Total.Land","Agriculture.Land","Forest.Area"
"1","Aruba",1990,180,20,2.333333
"2","Afghanistan",1990,652860,380400,2.067825
"3","Angola",1990,1246700,574040,48.90992
"4","Albania",1990,27400,11210,28.78832
"5","Andorra",1990,470,190,34.04255
"6","Arab World",1990,13623991,4772142,3.684248
"7","United Arab Emirates",1990,83600,2850,2.930622
"8","Argentina",1990,2736690,1275650,12.71353
"9","American Samoa",1990,200,30,91.95
"10","Antigua and Barbuda",1990,440,90,23.40909
"11","Australia",1990,7682300,4644810,16.7321
"12","Austria",1990,82580,30239,45.72536
"13","Burundi",1990,25680,21100,11.25389
"14","Benin",1990,112760,22700,51.09081
"15","Burkina Faso",1990,273600,95750,25.02558
"16","Bangladesh",1990,130170,103860,11.4773
"17","Bulgaria",1990,110630,61590,30.07322
"18","Bahrain",1990,690,80,0.3188406
"19","Bahamas, The",1990,10010,120,51.44855
"20","Belize",1990,22810,1260,70.84744
"21","Bermuda",1990,50,3,20
"22","Bolivia",1990,1083300,354550,57.9664
"23","Brazil",1990,8358140,2416080,65.40989
"24","Barbados",1990,430,190,14.65116
"25","Brunei Darussalam",1990,5270,110,78.36812
"26","Bhutan",1990,46723,4540,53.65045
"27","Botswana",1990,566730,260210,24.20553
"28","Central African Republic",1990,622980,50060,36.21304
"29","Canada",1990,9093510,677680,38.29907
"30","Central Europe and the Baltics",1990,1104826,461950,31.9444
"31","Switzerland",1990,39529,16057,29.11786
"32","Channel Islands",1990,190,85,4.210526
"33","Chile",1990,743532,158990,20.5277
"34","China",1990,9388250,5056940,16.73801
"35","Cote d'Ivoire",1990,318000,189300,32.14465
"36","Cameroon",1990,472710,91700,51.43957
"37","Congo, Dem. Rep.",1990,2267050,259600,70.73642
"38","Congo, Rep.",1990,341500,105210,66.54758
"39","Colombia",1990,1109500,450830,58.05949
"40","Comoros",1990,1861,1140,26.32993
"41","Cabo Verde",1990,4030,680,14.33002
"42","Costa Rica",1990,51060,23050,50.21543
"43","Caribbean small states",1990,404850,26149,86.32264
"44","Cuba",1990,107400,67410,19.16201
"45","Cayman Islands",1990,240,27,52.91667
"46","Cyprus",1990,9240,1606,17.43615
"47","Germany",1990,349130,180320,32.36617
"48","Djibouti",1990,23180,12990,0.2415876
"49","Dominica",1990,750,180,66.66667
"50","Denmark",1990,42390,27880,12.81434
"51","Dominican Republic",1990,48310,25460,22.87311
"52","Algeria",1990,2381740,386760,0.6999085
"53","East Asia & Pacific (excluding high income)",1990,15928540,7435441,28.6912
"54","Early-demographic dividend",1990,33245913,12367376,24.46613
"55","East Asia & Pacific",1990,24400050,12332851,25.77105
"56","Europe & Central Asia (excluding high income)",1990,22694124,617260,38.36678
"57","Europe & Central Asia",1990,27357008,2385476,37.2715
"58","Ecuador",1990,276840,78460,52.84948
"59","Egypt, Arab Rep.",1990,995450,26480,0.04420112
"60","Euro area",1990,2645532,1223673,34.37001
"61","Spain",1990,499440,304720,27.64995
"62","Ethiopia",1990,1101000,563120,15.19982
"63","European Union",1990,4209512,1929663,34.96133
"64","Fragile and conflict affected situations",1990,14722448,4745120,25.27734
"65","Finland",1990,304590,23930,71.81785
"66","Fiji",1990,18270,4100,52.15654
"67","France",1990,547566,305928,26.36395
"68","Faroe Islands",1990,1396,30,0.05730659
"69","Gabon",1990,257670,51570,85.38053
"70","United Kingdom",1990,241930,182030,11.48266
"71","Ghana",1990,227540,126050,37.91421
"72","Guinea",1990,245720,141410,29.5621
"73","Gambia, The",1990,10120,5860,43.67589
"74","Guinea-Bissau",1990,28120,14470,78.80512
"75","Equatorial Guinea",1990,28050,3340,66.31016
"76","Greece",1990,128900,92220,25.59348
"77","Grenada",1990,340,130,49.97059
"78","Greenland",1990,341700,2355,0.0006438396
"79","Guatemala",1990,107160,42850,44.30758
"80","Guam",1990,540,200,46.2963
"81","Guyana",1990,196850,17320,84.63297
"82","High income",1990,34928338.4,13183346,28.34927
"83","Honduras",1990,111890,33200,72.71427
"84","Heavily indebted poor countries (HIPC)",1990,19753821,7452930,31.87451
"85","Haiti",1990,27560,15970,4.208999
"86","Hungary",1990,89870,64740,20.04006
"87","IBRD only",1990,69458199,19220623,34.49863
"88","IDA & IBRD total",1990,95785600,29680786,32.82836
"89","IDA total",1990,26327401,10460163,28.41996
"90","IDA blend",1990,5937530,2832459,24.31239
"91","Indonesia",1990,1811570,450830,65.43771
"92","IDA only",1990,20389871,7627704,29.61672
"93","Isle of Man",1990,570,396,6.070175
"94","India",1990,2973190,1814130,21.50518
"95","Ireland",1990,68890,56490,6.749891
"96","Iran, Islamic Rep.",1990,1628760,615000,5.572374
"97","Iraq",1990,437370,92300,1.838261
"98","Iceland",1990,100250,19010,0.1605985
"99","Israel",1990,21640,5790,6.099815
"100","Italy",1990,294110,168400,25.80667
"101","Jamaica",1990,10830,4760,31.81902
"102","Jordan",1990,88240,10402,1.104941
"103","Japan",1990,364600,56930,68.43116
"104","Kenya",1990,569140,267700,8.300242
"105","Cambodia",1990,176520,44550,73.3288
"106","Kiribati",1990,810,390,15
"107","St. Kitts and Nevis",1990,260,120,42.30769
"108","Korea, Rep.",1990,96460,21790,66.03774
"109","Kuwait",1990,17820,1410,0.1936027
"110","Latin America & Caribbean (excluding high income)",1990,19125130,6544019,52.65466
"111","Lao PDR",1990,230800,16600,76.45104
"112","Lebanon",1990,10230,6050,12.80547
"113","Liberia",1990,96320,24930,51.17317
"114","Libya",1990,1759540,154550,0.1233277
"115","St. Lucia",1990,610,209,35.7377
"116","Latin America & Caribbean",1990,20071224.4,6858056,51.0312
"117","Least developed countries: UN classification",1990,20146544,7662914,30.5554
"118","Low income",1990,13380901,4857884,31.59959
"119","Liechtenstein",1990,160,70,40.625
"120","Sri Lanka",1990,62710,23390,36.42162
"121","Lower middle income",1990,23178980,9503972,28.68307
"122","Low & middle income",1990,94732568,29280042,33.01587
"123","Lesotho",1990,30360,23210,1.317523
"124","Late-demographic dividend",1990,44559205,10781342,38.77043
"125","Morocco",1990,446300,303430,11.10016
"126","Madagascar",1990,581540,363250,23.54438
"127","Maldives",1990,300,80,3.333333
"128","Middle East & North Africa",1990,11238810,3325842,1.773254
"129","Mexico",1990,1943950,1051510,35.8857
"130","Middle income",1990,81407597,24422162,33.24874
"131","Mali",1990,1220190,321280,5.482753
"132","Malta",1990,320,130,1.09375
"133","Myanmar",1990,653540,104280,60.00857
"134","Middle East & North Africa (excluding high income)",1990,8643940,2069362,2.148238
"135","Mongolia",1990,1553560,1256560,8.069209
"136","Mozambique",1990,786380,476800,55.16163
"137","Mauritania",1990,1030700,396560,0.402639
"138","Mauritius",1990,2030,1110,20.24631
"139","Malawi",1990,94280,42180,41.32372
"140","Malaysia",1990,328550,68457,68.10531
"141","North America",1990,18252520,4947163,35.65119
"142","Namibia",1990,823290,386620,10.64267
"143","New Caledonia",1990,18280,2320,45.89716
"144","Niger",1990,1266700,330470,1.535486
"145","Nigeria",1990,910770,615860,18.92245
"146","Nicaragua",1990,120340,40250,37.51039
"147","Netherlands",1990,33760,20060,10.21919
"148","Norway",1990,365245,9760,33.21606
"149","Nepal",1990,143000,41444,33.68531
"150","Nauru",1990,20,4,0
"151","New Zealand",1990,263310,161820,36.6792
"152","OECD members",1990,34384298,13209044,30.88136
"153","Oman",1990,309500,10800,0.006462036
"154","Other small states",1990,2039234,803396,27.78328
"155","Pakistan",1990,770880,352060,3.278072
"156","Panama",1990,74340,21240,67.79661
