"","Country.Name","Year","Agriculture.Land"
"1","Aruba","1961","      20.0"
"2","Afghanistan","1961","  377000.0"
"3","Angola","1961","  571700.0"
"4","Albania","1961","   12320.0"
"5","Andorra","1961","     260.0"
"6","Arab World","1961"," 4215860.0"
"7","United Arab Emirates","1961","    2080.0"
"8","Argentina","1961"," 1378290.0"
"9","American Samoa","1961","      30.0"
"10","Antigua and Barbuda","1961","     100.0"
"11","Australia","1961"," 4615850.0"
"12","Austria","1961","   35554.0"
"13","Burundi","1961","   15750.0"
"14","Benin","1961","   14420.0"
"15","Burkina Faso","1961","   81390.0"
"16","Bangladesh","1961","   94800.0"
"17","Bulgaria","1961","   56730.0"
"18","Bahrain","1961","      70.0"
"19","Bahamas, The","1961","     100.0"
"20","Belize","1961","     790.0"
"21","Bermuda","1961","       4.0"
"22","Bolivia","1961","  300420.0"
"23","Brazil","1961"," 1505310.0"
"24","Barbados","1961","     190.0"
"25","Brunei Darussalam","1961","     210.0"
"26","Bhutan","1961","    3610.0"
"27","Botswana","1961","  260000.0"
"28","Central African Republic","1961","   47380.0"
"29","Canada","1961","  698250.0"
"30","Central Europe and the Baltics","1961","  476790.0"
"31","Switzerland","1961","   17363.0"
"32","Channel Islands","1961","      90.0"
"33","Chile","1961","  133860.0"
"34","China","1961"," 3423500.0"
"35","Cote d'Ivoire","1961","  156800.0"
"36","Cameroon","1961","   75100.0"
"37","Congo, Dem. Rep.","1961","  250500.0"
"38","Congo, Rep.","1961","  105400.0"
"39","Colombia","1961","  399700.0"
"40","Comoros","1961","     950.0"
"41","Cabo Verde","1961","     650.0"
"42","Costa Rica","1961","   13950.0"
"43","Caribbean small states","1961","   22340.0"
"44","Cuba","1961","   35500.0"
"45","Cayman Islands","1961","      27.0"
"46","Cyprus","1961","    4040.0"
"47","Germany","1961","  193750.0"
"48","Djibouti","1961","   13010.0"
"49","Dominica","1961","     170.0"
"50","Denmark","1961","   31600.0"
"51","Dominican Republic","1961","   21900.0"
"52","Algeria","1961","  454710.0"
"53","East Asia & Pacific (excluding high income)","1961"," 5695268.0"
"54","Early-demographic dividend","1961","11599250.0"
"55","East Asia & Pacific","1961","10573658.0"
"56","Europe & Central Asia (excluding high income)","1961","  580230.0"
"57","Europe & Central Asia","1961"," 2531219.0"
"58","Ecuador","1961","   47100.0"
"59","Egypt, Arab Rep.","1961","   25680.0"
"60","Euro area","1961"," 1353091.0"
"61","Spain","1961","  332300.0"
"62","Ethiopia","1961","  578360.0"
"63","European Union","1961"," 2101851.0"
"64","Fragile and conflict affected situations","1961"," 4466160.0"
"65","Finland","1961","   27657.0"
"66","Fiji","1961","    2270.0"
"67","France","1961","  345390.0"
"68","Faroe Islands","1961","      30.0"
"69","Gabon","1961","   51950.0"
"70","United Kingdom","1961","  198000.0"
"71","Ghana","1961","  117000.0"
"72","Guinea","1961","  146200.0"
"73","Gambia, The","1961","    5240.0"
"74","Guinea-Bissau","1961","   13580.0"
"75","Equatorial Guinea","1961","    3140.0"
"76","Greece","1961","   89100.0"
"77","Grenada","1961","     220.0"
"78","Greenland","1961","    2350.0"
"79","Guatemala","1961","   26460.0"
