"","Country.Name","Year","CO2Emission"
"1","Afghanistan",1960,0.046059897
"2","Angola",1960,0.097471604
"3","Albania",1960,1.258194928
"4","Arab World",1960,0.643999153
"5","United Arab Emirates",1960,0.118757692
"6","Argentina",1960,2.367473032
"7","Antigua and Barbuda",1960,0.662642982
"8","Australia",1960,8.582936643
"9","Austria",1960,4.373318828
"10","Belgium",1960,9.941594074
"11","Benin",1960,0.066354063
"12","Burkina Faso",1960,0.009111902
"13","Bulgaria",1960,2.833901121
"14","Bahrain",1960,3.544478443
"15","Bahamas, The",1960,3.749762618
"16","Belize",1960,0.477971846
"17","Bermuda",1960,3.551373874
"18","Bolivia",1960,0.27203787
"19","Brazil",1960,0.649630979
"20","Barbados",1960,0.746296641
"21","Brunei Darussalam",1960,4.082170163
"22","Central African Republic",1960,0.058535106
"23","Canada",1960,10.770847287
"24","Central Europe and the Baltics",1960,5.118437186
"25","Switzerland",1960,3.664365979
"26","Chile",1960,1.74828931
"27","China",1960,1.170381372
"28","Cote d'Ivoire",1960,0.129823984
"29","Cameroon",1960,0.052423483
"30","Congo, Dem. Rep.",1960,0.152228016
"31","Congo, Rep.",1960,0.21566013
"32","Colombia",1960,0.995718667
"33","Comoros",1960,0.057560394
"34","Cabo Verde",1960,0.108753893
"35","Costa Rica",1960,0.368614595
"36","Caribbean small states",1960,1.400136055
"37","Cuba",1960,1.918450218
"38","Cayman Islands",1960,1.398728544
"39","Cyprus",1960,1.548904753
"40","Djibouti",1960,0.482292314
"41","Dominica",1960,0.183316392
"42","Denmark",1960,6.502683093
"43","Dominican Republic",1960,0.316155046
"44","Algeria",1960,0.553763777
"45","East Asia & Pacific (excluding high income)",1960,0.951762012
"46","Early-demographic dividend",1960,0.594251202
"47","East Asia & Pacific",1960,1.16126305
"48","Ecuador",1960,0.388033791
"49","Egypt, Arab Rep.",1960,0.59467362
"50","Spain",1960,1.606592711
"51","Ethiopia",1960,0.015892176
"52","European Union",1960,5.763853675
"53","Fragile and conflict affected situations",1960,0.279254464
"54","Finland",1960,3.409846728
"55","Fiji",1960,0.49404656
"56","France",1960,5.793507945
"57","Faroe Islands",1960,1.692738236
"58","Gabon",1960,0.264455592
"59","United Kingdom",1960,11.15075916
"60","Ghana",1960,0.219944359
"61","Gibraltar",1960,2.037744721
"62","Guinea",1960,0.114804877
"63","Gambia, The",1960,0.04983312
"64","Guinea-Bissau",1960,0.029744861
"65","Equatorial Guinea",1960,0.0861732
"66","Greece",1960,1.128920482
"67","Grenada",1960,0.24482302
"68","Greenland",1960,6.882676923
"69","Guatemala",1960,0.319608136
"70","Guyana",1960,1.154316313
"71","High income",1960,7.55891183
"72","Hong Kong SAR, China",1960,0.960982311
"73","Honduras",1960,0.30219014
"74","Heavily indebted poor countries (HIPC)",1960,0.122373205
"75","Haiti",1960,0.073981955
"76","Hungary",1960,4.544465241
"77","IBRD only",1960,1.332022834
"78","IDA & IBRD total",1960,1.149031787
"79","IDA total",1960,0.216654366
"80","IDA blend",1960,0.355069613
"81","Indonesia",1960,0.243805283
"82","IDA only",1960,0.136785892
"83","India",1960,0.268269551
"84","Ireland",1960,3.952726791
"85","Iran, Islamic Rep.",1960,1.706877462
"86","Iraq",1960,1.133839367
"87","Iceland",1960,6.913193297
"88","Israel",1960,3.059851846
"89","Italy",1960,2.178444772
"90","Jamaica",1960,0.903095467
"91","Jordan",1960,0.798493334
"92","Japan",1960,2.516537519
"93","Kenya",1960,0.299496881
"94","Cambodia",1960,0.041012378
"95","St. Kitts and Nevis",1960,0.214884266
"96","Korea, Rep.",1960,0.501837251
"97","Latin America & Caribbean (excluding high income)",1960,1.28878348
"98","Lao PDR",1960,0.038037697
"99","Lebanon",1960,1.430290217
"100","Liberia",1960,0.147293658
"101","Libya",1960,0.478496869
"102","St. Lucia",1960,0.16316451
"103","Latin America & Caribbean",1960,1.321241863
"104","Least developed countries: UN classification",1960,0.10189245
"105","Sri Lanka",1960,0.228261116
"106","Lower middle income",1960,0.373791086
"107","Low & middle income",1960,1.050954725
"108","Late-demographic dividend",1960,1.797093326
"109","Luxembourg",1960,36.685183298
"110","Macao SAR, China",1960,0.30595485
"111","Morocco",1960,0.295358036
"112","Madagascar",1960,0.078382774
"113","Middle East & North Africa",1960,0.9693217
"114","Mexico",1960,1.653382376
"115","Middle income",1960,1.111621
"116","Mali",1960,0.022989578
"117","Malta",1960,1.044345429
"118","Myanmar",1960,0.129478275
"119","Middle East & North Africa (excluding high income)",1960,0.860653311
"120","Mongolia",1960,1.354729698
"121","Mozambique",1960,0.255097551
"122","Mauritania",1960,0.042730561
"123","Mauritius",1960,0.272514943
"124","North America",1960,15.525528798
"125","New Caledonia",1960,10.908164557
"126","Niger",1960,0.008656844
"127","Nigeria",1960,0.075472045
"128","Nicaragua",1960,0.299608553
"129","Netherlands",1960,6.39917962
"130","Norway",1960,3.658563698
"131","Nepal",1960,0.008016885
"132","New Zealand",1960,4.867069736
"133","OECD members",1960,7.273621049
"134","Other small states",1960,0.62023118
"135","Pakistan",1960,0.315189446
"136","Panama",1960,0.88040031
"137","Peru",1960,0.812376963
"138","Philippines",1960,0.317249003
"139","Palau",1960,1.521261149
"140","Papua New Guinea",1960,0.089364428
"141","Poland",1960,6.740362582
"142","Pre-demographic dividend",1960,0.156492484
"143","Portugal",1960,0.928578089
"144","Paraguay",1960,0.159947973
"145","Pacific island small states",1960,0.37288337
"146","Post-demographic dividend",1960,7.730027625
"147","French Polynesia",1960,0.469670577
"148","Qatar",1960,3.714671619
"149","Romania",1960,2.903812021
"150","Rwanda",1960,0.036252125
"151","South Asia",1960,0.243920502
"152","Saudi Arabia",1960,0.655055537
