"","Country.Name","Year","Population","Total.Land","Agriculture.Land","Forest.Area","Population.Density","CO2Emission","Region","IncomeGroup"
"1","Afghanistan",1990,12249114,652860,380400,2.067825,18.76224,0.213449805,"South Asia","Low income"
"2","Argentina",1990,32729739,2736690,1275650,12.71353,11.95961,3.440710908,"Latin America & Caribbean","Upper middle income"
"3","Australia",1990,17065100,7682300,4644810,16.7321,2.221353,15.452881671,"East Asia & Pacific","High income"
"4","Austria",1990,7677850,82580,30239,45.72536,92.97469,7.513246156,"Europe & Central Asia","High income"
"5","Bulgaria",1990,8718289,110630,61590,30.07322,78.80583,8.690224309,"Europe & Central Asia","Upper middle income"
"6","Brunei Darussalam",1990,258785,5270,110,78.36812,49.10531,23.933238016,"East Asia & Pacific","High income"
"7","Central African Republic",1990,2939780,622980,50060,36.21304,4.718899,0.067358102,"Sub-Saharan Africa","Low income"
"8","Canada",1990,27791000,9093510,677680,38.29907,3.056136,15.659070382,"North America","High income"
"9","China",1990,1135185000,9388250,5056940,16.73801,120.9155,2.167703077,"East Asia & Pacific","Upper middle income"
"10","Congo, Dem. Rep.",1990,34614581,2267050,259600,70.73642,15.26856,0.117591197,"Sub-Saharan Africa","Low income"
"11","Cabo Verde",1990,341883,4030,680,14.33002,84.83449,0.278873182,"Sub-Saharan Africa","Lower middle income"
"12","Costa Rica",1990,3095995,51060,23050,50.21543,60.63445,0.954653351,"Latin America & Caribbean","Upper middle income"
"13","Cuba",1990,10582081,107400,67410,19.16201,98.52962,3.165197658,"Latin America & Caribbean","Upper middle income"
"14","Cyprus",1990,766614,9240,1606,17.43615,82.96688,5.706562886,"Europe & Central Asia","High income"
"15","Algeria",1990,25912367,2381740,386760,0.6999085,10.8796,3.007910663,"Middle East & North Africa","Upper middle income"
"16","Egypt, Arab Rep.",1990,57412215,995450,26480,0.04420112,57.67463,1.322777217,"Middle East & North Africa","Lower middle income"
"17","Spain",1990,38867322,499440,304720,27.64995,77.8218,5.624190007,"Europe & Central Asia","High income"
"18","Ethiopia",1990,48086516,1101000,563120,15.19982,43.67531,0.06276065,"Sub-Saharan Africa","Low income"
"19","Finland",1990,4986431,304590,23930,71.81785,16.37096,10.377168961,"Europe & Central Asia","High income"
"20","Fiji",1990,728628,18270,4100,52.15654,39.88112,1.122302464,"East Asia & Pacific","Upper middle income"
"21","France",1990,58512808,547566,305928,26.36395,106.8598,6.419668186,"Europe & Central Asia","High income"
"22","Gambia, The",1990,916808,10120,5860,43.67589,90.59368,0.207986841,"Sub-Saharan Africa","Low income"
"23","Greece",1990,10196792,128900,92220,25.59348,79.10622,7.284521642,"Europe & Central Asia","High income"
"24","Haiti",1990,7099732,27560,15970,4.208999,257.61,0.139971058,"Latin America & Caribbean","Low income"
"25","Indonesia",1990,181436821,1811570,450830,65.43771,100.1545,0.824341653,"East Asia & Pacific","Lower middle income"
"26","India",1990,870133480,2973190,1814130,21.50518,292.6599,0.7115628,"South Asia","Lower middle income"
"27","Ireland",1990,3513974,68890,56490,6.749891,51.00848,8.891027651,"Europe & Central Asia","High income"
"28","Iran, Islamic Rep.",1990,56226185,1628760,615000,5.572374,34.52085,3.752880993,"Middle East & North Africa","Upper middle income"
"29","Iraq",1990,17469005,437370,92300,1.838261,39.94102,3.008496706,"Middle East & North Africa","Upper middle income"
"30","Italy",1990,56719240,294110,168400,25.80667,192.8504,7.361704582,"Europe & Central Asia","High income"
"31","Japan",1990,123537000,364600,56930,68.43116,338.8289,8.873292835,"East Asia & Pacific","High income"
"32","Kenya",1990,23402507,569140,267700,8.300242,41.11907,0.248827871,"Sub-Saharan Africa","Lower middle income"
"33","Korea, Rep.",1990,42869283,96460,21790,66.03774,444.4255,5.760374252,"East Asia & Pacific","High income"
"34","Lebanon",1990,2703016,10230,6050,12.80547,264.2244,3.038857336,"Middle East & North Africa","Upper middle income"
"35","Liberia",1990,2097232,96320,24930,51.17317,21.77359,0.227304371,"Sub-Saharan Africa","Low income"
"36","Libya",1990,4436661,1759540,154550,0.1233277,2.521489,8.290020355,"Middle East & North Africa","Upper middle income"
"37","Sri Lanka",1990,17078000,62710,23390,36.42162,272.333,0.226530331,"South Asia","Lower middle income"
"38","Mali",1990,8465188,1220190,321280,5.482753,6.937598,0.049816377,"Sub-Saharan Africa","Low income"
"39","Malta",1990,354170,320,130,1.09375,1106.781,6.150148234,"Middle East & North Africa","High income"
"40","Myanmar",1990,40626250,653540,104280,60.00857,62.16337,0.105245303,"East Asia & Pacific","Lower middle income"
"41","Mauritania",1990,2030140,1030700,396560,0.402639,1.969671,0.446151004,"Sub-Saharan Africa","Lower middle income"
"42","Mauritius",1990,1058775,2030,1110,20.24631,521.564,1.381911171,"Sub-Saharan Africa","Upper middle income"
"43","Netherlands",1990,14951510,33760,20060,10.21919,442.8765,10.594475006,"Europe & Central Asia","High income"
"44","Nepal",1990,18749406,143000,41444,33.68531,131.1147,0.033835259,"South Asia","Low income"
"45","New Zealand",1990,3329800,263310,161820,36.6792,12.64593,7.071237612,"East Asia & Pacific","High income"
"46","Pakistan",1990,107678614,770880,352060,3.278072,139.6827,0.636761224,"South Asia","Lower middle income"
"47","Panama",1990,2471009,74340,21240,67.79661,33.23929,1.120426919,"Latin America & Caribbean","Upper middle income"
"48","Portugal",1990,9983218,91500,39630,37.55191,109.1062,4.239198924,"Europe & Central Asia","High income"
"49","Romania",1990,23201835,229350,147690,27.7785,101.1634,6.8469487,"Europe & Central Asia","Upper middle income"
"50","Saudi Arabia",1990,16326815,2149690,1234810,0.4544841,7.594963,13.349091357,"Middle East & North Africa","High income"
"51","Sudan",1990,20147590,2376000,1229100,12.93237,10.84638,0.202623461,"Sub-Saharan Africa","Lower middle income"
"52","Singapore",1990,3047132,670,20,24.40299,4547.958,15.405065156,"East Asia & Pacific","High income"
"53","Sierra Leone",1990,4312246,72180,28250,43.19756,59.74295,0.113099067,"Sub-Saharan Africa","Low income"
"54","Sweden",1990,8558835,410340,34130,68.38963,20.85791,6.069368319,"Europe & Central Asia","High income"
"55","Thailand",1990,56582821,510890,213830,27.41295,110.7534,1.604831986,"East Asia & Pacific","Upper middle income"
"56","Tanzania",1990,25459604,885800,320000,63.12937,28.74193,0.089011832,"Sub-Saharan Africa","Low income"
"57","Uganda",1990,17438907,199810,119620,23.77759,87.27745,0.043527327,"Sub-Saharan Africa","Low income"
"58","United States",1990,249623000,9158960,4269480,33.02231,27.25451,19.323368167,"North America","High income"
"59","Samoa",1990,162866,2830,540,45.9364,57.54982,0.765525033,"East Asia & Pacific","Upper middle income"
"60","Yemen, Rep.",1990,12057039,527970,236260,1.039832,22.8366,0.795928337,"Middle East & North Africa","Lower middle income"
"61","South Africa",1990,36793490,1213090,956000,7.617737,30.33039,8.691630041,"Sub-Saharan Africa","Upper middle income"
"62","Afghanistan",1991,12993657,652860,380300,2.067825,19.90267,0.187672724,"South Asia","Low income"
"63","Argentina",1991,33193918,2736690,1276600,12.60636,12.12922,3.525383897,"Latin America & Caribbean","Upper middle income"
"64","Australia",1991,17284000,7682300,4629740,16.736,2.249847,15.127966212,"East Asia & Pacific","High income"
"65","Austria",1991,7754891,82580,30369,45.80044,93.90762,7.944096184,"Europe & Central Asia","High income"
"66","Bulgaria",1991,8632367,110630,61610,30.1166,78.02917,6.73939778,"Europe & Central Asia","Upper middle income"
"67","Brunei Darussalam",1991,266274,5270,110,78.06452,50.52638,19.941173378,"East Asia & Pacific","High income"
"68","Central African Republic",1991,3014624,622980,50080,36.188,4.839038,0.068118611,"Sub-Saharan Africa","Low income"
"69","Canada",1991,28171682,9093510,677530,38.29389,3.097999,15.149259742,"North America","High income"
"70","China",1991,1150780000,9388250,5113790,16.94955,122.5766,2.245901276,"East Asia & Pacific","Upper middle income"
"71","Congo, Dem. Rep.",1991,35914825,2267050,259800,70.59906,15.8421,0.082498968,"Sub-Saharan Africa","Low income"
"72","Cabo Verde",1991,349934,4030,680,14.933,86.83226,0.282936211,"Sub-Saharan Africa","Lower middle income"
"73","Costa Rica",1991,3175649,51060,22380,49.84724,62.19446,1.05079938,"Latin America & Caribbean","Upper middle income"
"74","Cuba",1991,10663585,107400,67550,19.51304,99.2885,2.780962406,"Latin America & Caribbean","Upper middle income"
"75","Cyprus",1991,783129,9240,1592,17.54978,84.75422,5.988914981,"Europe & Central Asia","High income"
"76","Algeria",1991,26554329,2381740,386220,0.6962137,11.14913,3.019983032,"Middle East & North Africa","Upper middle income"
"77","Egypt, Arab Rep.",1991,58752390,995450,26430,0.04570797,59.02094,1.339789275,"Middle East & North Africa","Lower middle income"
"78","Spain",1991,38966376,499440,303710,28.28416,78.02013,5.790484006,"Europe & Central Asia","High income"
"79","Ethiopia",1991,49821083,1101000,561580,15.06776,45.25076,0.05991315,"Sub-Saharan Africa","Low income"
"80","Finland",1991,5013740,304590,24248,72.00499,16.46062,10.710477209,"Europe & Central Asia","High income"
"81","Fiji",1991,735473,18270,4240,52.30706,40.25577,0.917406893,"East Asia & Pacific","Upper middle income"
"82","France",1991,58559312,547566,304849,26.51973,106.9448,6.670624392,"Europe & Central Asia","High income"
"83","Gambia, The",1991,949493,10120,5920,43.86364,93.82342,0.208551301,"Sub-Saharan Africa","Low income"
"84","Greece",1991,10319927,128900,91640,25.82777,80.0615,7.176639815,"Europe & Central Asia","High income"
"85","Haiti",1991,7243391,27560,15960,4.183599,262.8226,0.137701251,"Latin America & Caribbean","Low income"
"86","Indonesia",1991,184615979,1811570,415240,64.38139,101.9094,0.973538,"East Asia & Pacific","Lower middle income"
"87","India",1991,888054875,2973190,1815860,21.55399,298.6876,0.741158963,"South Asia","Lower middle income"
"88","Ireland",1991,3534235,68890,44420,6.996661,51.30258,8.884672638,"Europe & Central Asia","High income"
"89","Iran, Islamic Rep.",1991,57375584,1628760,629970,5.587699,35.22654,3.971568237,"Middle East & North Africa","Upper middle income"
"90","Iraq",1991,17942715,437370,96300,1.841461,41.02411,2.642946956,"Middle East & North Africa","Upper middle income"
"91","Italy",1991,56758521,294110,160540,26.07154,192.984,7.468379928,"Europe & Central Asia","High income"
"92","Japan",1991,123921000,364600,56540,68.41086,339.8821,8.871630055,"East Asia & Pacific","High income"
"93","Kenya",1991,24179598,569140,268770,8.095196,42.48445,0.200186951,"Sub-Saharan Africa","Lower middle income"
"94","Korea, Rep.",1991,43295704,96460,21610,65.95273,448.8462,6.039462229,"East Asia & Pacific","High income"
"95","Lebanon",1991,2752462,10230,6060,12.80547,269.0579,3.0801893,"Middle East & North Africa","Upper middle income"
"96","Liberia",1991,2060267,96320,25000,50.86171,21.38982,0.137049712,"Sub-Saharan Africa","Low income"
"97","Libya",1991,4544293,1759540,154600,0.1233277,2.58266,9.432394214,"Middle East & North Africa","Upper middle income"
"98","Sri Lanka",1991,17306000,62710,23420,36.27492,275.9687,0.241344794,"South Asia","Lower middle income"
"99","Mali",1991,8652514,1220190,321380,5.418009,7.09112,0.050433088,"Sub-Saharan Africa","Low income"
"100","Malta",1991,363845,320,130,1.09375,1137.016,5.704412593,"Middle East & North Africa","High income"
"101","Myanmar",1991,41190156,653540,104160,59.34296,63.02622,0.101489783,"East Asia & Pacific","Lower middle income"
