"","Country.Name","Year","Population","Population.Density","CO2Emission","Total.Land","Agriculture.Land","Forest.Area","Region","IncomeGroup"
"1","Aruba",1960,54211,NA,NA,NA,NA,NA,"Latin America & Caribbean","High income"
"2","Afghanistan",1960,8996351,NA,0.046059897,NA,NA,NA,"South Asia","Low income"
"3","Angola",1960,5643182,NA,0.097471604,NA,NA,NA,NA,NA
"4","Albania",1960,1608800,NA,1.258194928,NA,NA,NA,NA,NA
"5","Andorra",1960,13411,NA,NA,NA,NA,NA,"Europe & Central Asia","High income"
"6","Arab World",1960,92490932,NA,0.643999153,NA,NA,NA,NA,NA
"7","United Arab Emirates",1960,92634,NA,0.118757692,NA,NA,NA,NA,NA
"8","Argentina",1960,20619075,NA,2.367473032,NA,NA,NA,"Latin America & Caribbean","Upper middle income"
"9","Armenia",1960,1874120,NA,NA,NA,NA,NA,NA,NA
"10","American Samoa",1960,20013,NA,NA,NA,NA,NA,NA,NA
"11","Antigua and Barbuda",1960,55339,NA,0.662642982,NA,NA,NA,NA,NA
"12","Australia",1960,10276477,NA,8.582936643,NA,NA,NA,"East Asia & Pacific","High income"
"13","Austria",1960,7047539,NA,4.373318828,NA,NA,NA,"Europe & Central Asia","High income"
"14","Azerbaijan",1960,3895396,NA,NA,NA,NA,NA,NA,NA
"15","Burundi",1960,2786106,NA,NA,NA,NA,NA,NA,NA
"16","Belgium",1960,9153489,NA,9.941594074,NA,NA,NA,"Europe & Central Asia","High income"
"17","Benin",1960,2431622,NA,0.066354063,NA,NA,NA,NA,NA
"18","Burkina Faso",1960,4829288,NA,0.009111902,NA,NA,NA,NA,NA
"19","Bangladesh",1960,48199747,NA,NA,NA,NA,NA,"South Asia","Lower middle income"
"20","Bulgaria",1960,7867374,NA,2.833901121,NA,NA,NA,"Europe & Central Asia","Upper middle income"
"21","Bahrain",1960,162427,NA,3.544478443,NA,NA,NA,NA,NA
"22","Bahamas, The",1960,109528,NA,3.749762618,NA,NA,NA,NA,NA
"23","Bosnia and Herzegovina",1960,3225668,NA,NA,NA,NA,NA,NA,NA
"24","Belarus",1960,8198000,NA,NA,NA,NA,NA,"Europe & Central Asia","Upper middle income"
"25","Belize",1960,92064,NA,0.477971846,NA,NA,NA,NA,NA
"26","Bermuda",1960,44400,NA,3.551373874,NA,NA,NA,NA,NA
"27","Bolivia",1960,3693449,NA,0.27203787,NA,NA,NA,NA,NA
"28","Brazil",1960,72207554,NA,0.649630979,NA,NA,NA,NA,NA
"29","Barbados",1960,230939,NA,0.746296641,NA,NA,NA,NA,NA
"30","Brunei Darussalam",1960,81745,NA,4.082170163,NA,NA,NA,"East Asia & Pacific","High income"
