"","Country.Name","Year","Total.Land"
"1","Aruba","1961","      180.0"
"2","Afghanistan","1961","   652860.0"
"3","Angola","1961","  1246700.0"
"4","Albania","1961","    27400.0"
"5","Andorra","1961","      470.0"
"6","Arab World","1961"," 13624031.0"
"7","United Arab Emirates","1961","    83600.0"
"8","Argentina","1961","  2736690.0"
"9","Armenia","1961","    28470.0"
"10","American Samoa","1961","      200.0"
"11","Antigua and Barbuda","1961","      440.0"
"12","Australia","1961","  7682300.0"
"13","Austria","1961","    82580.0"
"14","Azerbaijan","1961","    83217.0"
"15","Burundi","1961","    25680.0"
"16","Benin","1961","   112760.0"
"17","Burkina Faso","1961","   273600.0"
"18","Bangladesh","1961","   130170.0"
"19","Bulgaria","1961","   110630.0"
"20","Bahrain","1961","      690.0"
"21","Bahamas, The","1961","    10010.0"
"22","Bosnia and Herzegovina","1961","    51000.0"
"23","Belarus","1961","   202840.0"
"24","Belize","1961","    22810.0"
"25","Bermuda","1961","       50.0"
"26","Bolivia","1961","  1083300.0"
"27","Brazil","1961","  8358140.0"
"28","Barbados","1961","      430.0"
"29","Brunei Darussalam","1961","     5270.0"
"30","Bhutan","1961","    46723.0"
"31","Botswana","1961","   566730.0"
"32","Central African Republic","1961","   622980.0"
"33","Canada","1961","  9093510.0"
"34","Central Europe and the Baltics","1961","  1105986.0"
"35","Switzerland","1961","    39528.0"
"36","Channel Islands","1961","      190.0"
"37","Chile","1961","   743532.0"
"38","China","1961","  9388250.0"
"39","Cote d'Ivoire","1961","   318000.0"
"40","Cameroon","1961","   472710.0"
"41","Congo, Dem. Rep.","1961","  2267050.0"
"42","Congo, Rep.","1961","   341500.0"
"43","Colombia","1961","  1109500.0"
"44","Comoros","1961","     1861.0"
"45","Cabo Verde","1961","     4030.0"
"46","Costa Rica","1961","    51060.0"
"47","Caribbean small states","1961","   404800.0"
"48","Cuba","1961","   107400.0"
"49","Curacao","1961","      444.0"
"50","Cayman Islands","1961","      240.0"
"51","Cyprus","1961","     9240.0"
"52","Czech Republic","1961","    77270.0"
"53","Germany","1961","   349130.0"
"54","Djibouti","1961","    23180.0"
"55","Dominica","1961","      750.0"
"56","Denmark","1961","    42370.0"
"57","Dominican Republic","1961","    48310.0"
"58","Algeria","1961","  2381740.0"
"59","East Asia & Pacific (excluding high income)","1961"," 15928630.0"
"60","Early-demographic dividend","1961"," 33246133.0"
"61","East Asia & Pacific","1961"," 24402270.0"
"62","Europe & Central Asia (excluding high income)","1961"," 22695114.0"
"63","Europe & Central Asia","1961"," 27358487.0"
"64","Ecuador","1961","   276840.0"
"65","Egypt, Arab Rep.","1961","   995450.0"
"66","Euro area","1961","  2645872.0"
"67","Spain","1961","   499780.0"
