Data Source	World Development Indicators																																																											
																																																												
Last Updated Date	6/30/17																																																											
																																																												
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Aruba	ABW	Population density (people per sq. km of land area)	EN.POP.DNST		307.9888889	312.3611111	314.9722222	316.8444444	318.6666667	320.6388889	322.5277778	324.3666667	326.2555556	328.1277778	330.2222222	332.4444444	334.6833333	336.2666667	336.9833333	336.5888889	335.3666667	333.9055556	333.2222222	333.8666667	336.4833333	340.8055556	345.5611111	349.0888889	350.1444444	348.0222222	343.5166667	339.3277778	339.0666667	345.2722222	359.0111111	379.0833333	402.8	426.1111111	446.2444444	462.2222222	474.7277778	484.8722222	494.4722222	504.7388889	516.1	527.7333333	538.9833333	548.5388889	555.7277778	560.1777778	562.3333333	563.0722222	563.6277778	564.8277778	566.9611111	569.8722222	573.2611111	576.6388889	579.6722222	582.3444444
Afghanistan	AFG	Population density (people per sq. km of land area)	EN.POP.DNST		14.04093374	14.31527127	14.60336672	14.90573936	15.22288699	15.55054836	15.88798517	16.24290966	16.62596575	17.04212695	17.48893331	17.95475293	18.42327911	18.87317495	19.28481757	19.66776797	20.01583494	20.27652789	20.38215697	20.29281929	19.99502803	19.52891125	18.97691542	18.45283062	18.04835646	17.76956928	17.61903165	17.67743161	18.04002236	18.76223693	19.90266979	21.41535858	23.12149465	24.77210887	26.19174249	27.29970285	28.15550807	28.89440156	29.72103667	30.77804736	32.11479184	33.66713078	35.32893882	36.94356983	38.4014919	39.66156603	40.76952486	41.80686671	42.89484882	44.11844346	45.50531354	47.01920473	48.6041234	50.17617866	51.67492877	53.08340532
Angola	AGO	Population density (people per sq. km of land area)	EN.POP.DNST		4.614601749	4.705270715	4.796997674	4.887559958	4.975775247	5.061177509	5.145580332	5.232847517	5.328171974	5.4354544	5.556484319	5.690891153	5.837779739	5.995297987	6.162251544	6.337528676	6.522008502	6.718654849	6.931516002	7.162829871	7.41518168	7.686015882	7.966280581	8.243619957	8.509699206	8.759955884	8.998370097	9.235556269	9.486834844	9.762926927	10.06933986	10.40213764	10.75137082	11.10235101	11.44541109	11.77691826	12.10313708	12.4362862	12.79358787	13.18755434	13.6225764	14.09533087	14.60124248	15.13252266	15.68343788	16.25282666	16.8426141	17.45361354	18.08738831	18.74479105	19.426137	20.13006337	20.85372584	21.59337932	22.3464386	23.11178551
Albania	ALB	Population density (people per sq. km of land area)	EN.POP.DNST		60.57664234	62.45689781	64.32923358	66.20930657	68.05806569	69.87492701	71.73715328	73.80554745	75.97427007	77.93718978	79.84864964	81.86591241	83.82306569	85.77094891	87.76755474	89.72722628	91.73525547	93.65934307	95.54131387	97.51813869	99.49109489	101.6159854	103.7941606	106.0010584	108.2029927	110.315146	112.5403285	114.6837956	117.8081387	119.9467883	119.2259124	118.505073	117.7841971	117.0633577	116.3424818	115.6216423	114.9007664	114.179927	113.4590511	112.7382117	111.685146	111.3507299	110.9348905	110.4722263	109.9082847	109.2170438	108.394781	107.5662044	106.8437591	106.314635	106.0290146	105.8540511	105.660292	105.4417518	105.135146	104.9671898
Andorra	AND	Population density (people per sq. km of land area)	EN.POP.DNST		30.58510638	32.70212766	34.91914894	37.16808511	39.46595745	41.80212766	44.16595745	46.57446809	49.05957447	51.65106383	54.38085106	57.21702128	60.06808511	62.80851064	65.32978723	67.6106383	69.72553191	71.78085106	74.08085106	76.73829787	79.78723404	83.2212766	86.95106383	90.86382979	94.89361702	98.97234043	103.0957447	107.306383	111.5914894	115.9765957	120.5765957	125.293617	129.7255319	133.3553191	135.8510638	136.9361702	136.8659574	136.4723404	136.9574468	139.1276596	143.2787234	149.0404255	155.706383	162.2212766	167.8021277	172.3212766	175.9212766	178.4276596	179.706383	179.6787234	178.193617	175.3851064	171.8893617	168.5595745	165.987234	164.4276596
Arab World	ARB	Population density (people per sq. km of land area)	EN.POP.DNST		6.976239044	7.169852594	7.370144416	7.57777944	7.793213917	8.017494455	8.250636834	8.490891205	8.735780328	8.984005835	9.234228768	9.488335354	9.752165573	10.03353283	10.33788836	10.66738652	11.01975581	11.39047464	11.77279756	12.16159714	12.55520134	12.95436	13.35921515	13.77061655	14.18896276	14.61346877	15.04276897	15.47599165	15.91218036	16.49556624	16.9428964	17.25168741	17.71035644	18.16175354	18.71913279	19.14586402	19.5665634	19.98201161	20.40242547	20.83321982	21.27496499	21.7282983	22.19893355	22.69275477	23.21408185	23.76510969	24.34350878	24.94329518	25.55866599	26.17270101	26.78841115	27.40589745	28.02221341	28.63454973	29.24108975	29.83924575
United Arab Emirates	ARE	Population density (people per sq. km of land area)	EN.POP.DNST		1.209066986	1.345358852	1.501985646	1.657045455	1.798588517	1.919629187	2.03687799	2.191315789	2.438038278	2.816973684	3.335023923	3.980382775	4.750885167	5.638325359	6.630669856	7.738552632	8.948767943	10.19452153	11.38803828	12.46870813	13.40789474	14.22900718	14.98875598	15.77126794	16.63937799	17.61026316	18.6688756	19.80680622	21.00529904	22.25088517	23.56490431	24.95979665	26.40436603	27.85509569	29.29210526	30.75382775	32.29677033	33.94910287	35.74356459	37.73833732	39.78507177	41.95253589	44.75995215	48.89869617	54.77944976	62.70373206	72.29745215	82.46744019	91.70326555	98.93162679	103.7377392	106.4647488	107.7304187	108.5031938	109.5012201	110.8805263
Argentina	ARG	Population density (people per sq. km of land area)	EN.POP.DNST		7.656357498	7.778623812	7.90072679	8.022073746	8.142460418	8.261347833	8.379539882	8.499785507	8.625743873	8.759873424	8.903616778	9.055811583	9.213096112	9.370628752	9.525001005	9.6748817	9.821559987	9.967420862	10.11606503	10.27002985	10.42988574	10.5945456	10.76290628	10.93324564	11.10421093	11.27538888	11.44684747	11.61823846	11.78926404	11.95960777	12.12922107	12.29775788	12.46429702	12.62770537	12.78727733	12.94252619	13.0939087	13.24285542	13.39138448	13.54097541	13.69227388	13.84496235	13.9984357	14.1516562	14.30395405	14.45501317	14.60531664	14.75592376	14.90830419	15.06341201	15.22162868	15.38235569	15.54429804	15.7056572	15.8650651	16.0220668
Armenia	ARM	Population density (people per sq. km of land area)	EN.POP.DNST		68.19427468	70.58398314	72.97418335	75.3423955	77.67179487	79.94488936	82.16101159	84.33930453	86.50948367	88.69213207	90.89237794	93.0974359	95.28559888	97.42701089	99.499719	101.4955743	103.4204074	105.2831401	107.098876	108.8778012	110.575764	112.1772392	113.7546189	115.4055146	117.1736916	119.1519494	121.2484018	123.0997893	124.2173867	124.2769582	123.1208641	120.9276431	118.1277836	115.3375483	113.0081489	111.2825782	110.0486828	109.1915701	108.5007727	107.8183351	107.1533193	106.5646997	105.9995083	105.3955743	104.7158061	103.9164032	103.0226906	102.1503337	101.4606252	101.0646646	101.0038988	101.2266245	101.6336143	102.0800843	102.4569723	102.7332631
American Samoa	ASM	Population density (people per sq. km of land area)	EN.POP.DNST		102.43	105.585	109.41	113.49	117.6	121.605	125.58	129.425	133.07	136.46	139.58	142.46	145.07	147.44	149.66	151.605	153.445	155.51	158.365	162.285	167.465	173.69	180.8	188.44	196.205	204.185	212.25	220.235	227.965	235.19	241.875	247.965	253.6	259.015	264.34	269.645	274.705	279.505	283.85	287.605	290.875	293.655	295.585	296.32	295.59	293.25	289.515	285.15	281.135	278.185	276.6	276.15	276.535	277.185	277.685	277.995
